"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","Non-Compliance Reason","Remediation Completion Date","Justification"
"MS.AAD.3.1v1","Phishing-resistant MFA SHALL be enforced for all users.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.3.4v1","The Authentication Methods Manage Migration feature SHALL be set to Migration Complete.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.3.6v1","Phishing-resistant MFA SHALL be required for highly privileged roles.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.5.2v1","Only administrators SHALL be allowed to consent to applications.","Fail","Shall","1 authorization policies found that allow non-admin users to consent to third-party applications: authorizationPolicy","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.5.3v1","An admin consent workflow SHALL be configured for applications.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.6.1v1","User passwords SHALL NOT expire.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.7.2v1","Privileged users SHALL be provisioned with finer-grained roles instead of Global Administrator.","Fail","Shall","Requirement not met: Least Privilege Score = 2 (should be 1 or less)","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.7.4v1","Permanent active role assignments SHALL NOT be allowed for highly privileged roles.","Fail","Shall","3 role(s) that contain users with permanent active assignment: Application Administrator, Exchange Administrator, Global Administrator","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.7.5v1","Provisioning users to highly privileged roles SHALL NOT occur outside of a PAM system.","Fail","Shall","1 role(s) assigned to users outside of PIM: Global Administrator","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.7.6v1","Activation of the Global Administrator role SHALL require approval.","Fail","Shall","1 role(s) or group(s) allowing activation without approval found: Global Administrator(Directory Role)","N/A","N/A","N/A","N/A"," "," "," "
"MS.AAD.7.7v1","Eligible and Active highly privileged role assignments SHALL trigger an alert.","Fail","Shall","6 role(s) or group(s) without notification e-mail configured for role assignments found: Cloud Application Administrator(Directory Role), Exchange Administrator(Directory Role), Global Administrator(Directory Role), Hybrid Identity Administrator(Directory Role), Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role)","N/A","N/A","N/A","N/A"," "," "," "
"MS.DEFENDER.1.4v1","Sensitive accounts SHALL be added to Exchange Online Protection in the strict preset security policy.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A"," "," "," "
"MS.DEFENDER.1.5v1","Sensitive accounts SHALL be added to Defender for Office 365 protection in the strict preset security policy.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A"," "," "," "
