"Control ID","Requirement","Result","Criticality","Details"
"MS.AAD.1.1v1","Legacy authentication SHALL be blocked.","Pass","Shall","1 conditional access policy(s) found that meet(s) all requirements: MS.AAD.1.1v1 Legacy authentication SHALL be blocked. "
"MS.AAD.2.1v1","Users detected as high risk SHALL be blocked.","Pass","Shall","1 conditional access policy(s) found that meet(s) all requirements: MS.AAD.2.1v1 Users detected as high risk SHALL be blocked. "
"MS.AAD.2.2v1","A notification SHOULD be sent to the administrator when high-risk users are detected.","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.4.0/PowerShell/ScubaGear/baselines/aad.md#msaad22v1 for instructions on manual check"
"MS.AAD.2.3v1","Sign-ins detected as high risk SHALL be blocked.","Pass","Shall","1 conditional access policy(s) found that meet(s) all requirements: MS.AAD.2.3v1 Sign-ins detected as high risk SHALL be blocked. "
"MS.AAD.3.1v1","Phishing-resistant MFA SHALL be enforced for all users.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. "
"MS.AAD.3.2v1","If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users.","Pass","Shall","1 conditional access policy(s) found that meet(s) all requirements: MS.AAD.3.2v1 If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users. "
"MS.AAD.3.3v1","If phishing-resistant MFA has not been enforced and Microsoft Authenticator is enabled, it SHALL be configured to show login context information.","Pass","Shall","Requirement met"
"MS.AAD.3.4v1","The Authentication Methods Manage Migration feature SHALL be set to Migration Complete.","Pass","Shall","Requirement met"
"MS.AAD.3.5v1","The authentication methods SMS, Voice Call, and Email One-Time Passcode (OTP) SHALL be disabled.","Pass","Shall","Requirement met"
"MS.AAD.3.6v1","Phishing-resistant MFA SHALL be required for highly privileged roles.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. "
"MS.AAD.3.7v1","Managed devices SHOULD be required for authentication.","Warning","Should","0 conditional access policy(s) found that meet(s) all requirements. "
"MS.AAD.3.8v1","Managed Devices SHOULD be required to register MFA.","Warning","Should","0 conditional access policy(s) found that meet(s) all requirements. "
"MS.AAD.4.1v1","Security logs SHALL be sent to the agency's security operations center for monitoring.","N/A","Shall/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.4.0/PowerShell/ScubaGear/baselines/aad.md#msaad41v1 for instructions on manual check"
"MS.AAD.5.1v1","Only administrators SHALL be allowed to register applications.","Pass","Shall","0 authorization policies found that allow non-admin users to register third-party applications"
"MS.AAD.5.2v1","Only administrators SHALL be allowed to consent to applications.","Pass","Shall","0 authorization policies found that allow non-admin users to consent to third-party applications"
"MS.AAD.5.3v1","An admin consent workflow SHALL be configured for applications.","Pass","Shall","Requirement met"
"MS.AAD.5.4v1","Group owners SHALL NOT be allowed to consent to applications.","Fail","Shall","Requirement not met"
"MS.AAD.6.1v1","User passwords SHALL NOT expire.","Pass","Shall","Requirement met"
"MS.AAD.7.1v1","A minimum of two users and a maximum of eight users SHALL be provisioned with the Global Administrator role.","Pass","Shall","4 global admin(s) found: Addam Schroll, Nanda Katikaneni, Ted Kolovos, Thomas Comeau"
"MS.AAD.7.2v1","Privileged users SHALL be provisioned with finer-grained roles instead of Global Administrator.","Pass","Shall","Requirement met: Least Privilege Score = 0.21 (should be 1 or less)"
"MS.AAD.7.3v1","Privileged users SHALL be provisioned cloud-only accounts separate from an on-premises directory or other federated identity providers.","Fail","Shall","1 admin(s) that are not cloud-only found: Alex Wilber"
"MS.AAD.7.4v1","Permanent active role assignments SHALL NOT be allowed for highly privileged roles.","Fail","Shall","8 role(s) that contain users with permanent active assignment: Application Administrator, Cloud Application Administrator, Exchange Administrator, Global Administrator, Hybrid Identity Administrator, Privileged Role Administrator, SharePoint Administrator, User Administrator"
"MS.AAD.7.5v1","Provisioning users to highly privileged roles SHALL NOT occur outside of a PAM system.","Fail","Shall","6 role(s) assigned to users outside of PIM: Application Administrator, Cloud Application Administrator, Exchange Administrator, Global Administrator, Hybrid Identity Administrator, Privileged Role Administrator"
"MS.AAD.7.6v1","Activation of the Global Administrator role SHALL require approval.","Pass","Shall","0 role(s) or group(s) allowing activation without approval found"
"MS.AAD.7.7v1","Eligible and Active highly privileged role assignments SHALL trigger an alert.","Fail","Shall","3 role(s) or group(s) without notification e-mail configured for role assignments found: Global Administrator(Directory Role), Shanti Test PIM Group(PIM Group), Ted's PIM Test Group(PIM Group)"
"MS.AAD.7.8v1","User activation of the Global Administrator role SHALL trigger an alert.","Fail","Shall","1 role(s) or group(s) without notification e-mail configured for Global Administrator activations found: Global Administrator(Directory Role)"
"MS.AAD.7.9v1","User activation of other highly privileged roles SHOULD trigger an alert.","Warning","Should","4 role(s) or group(s) without notification e-mail configured for role activations found: Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role), Ted's PIM Group 2(PIM Group), Ted's PIM Test Group(PIM Group)"
"MS.AAD.8.1v1","Guest users SHOULD have limited or restricted access to Microsoft Entra ID directory objects.","Pass","Should","Permission level set to ""Limited access"" (authorizationPolicy)"
"MS.AAD.8.2v1","Only users with the Guest Inviter role SHOULD be able to invite guest users.","Pass","Should","Permission level set to ""adminsAndGuestInviters"" (authorizationPolicy)"
"MS.AAD.8.3v1","Guest invites SHOULD only be allowed to specific external domains that have been authorized by the agency for legitimate business purposes.","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.4.0/PowerShell/ScubaGear/baselines/aad.md#msaad83v1 for instructions on manual check"
